date,lat,lon,depth,id,mw,moment
05/12/2008,30.858,103.24,10.75,2008WENCHU02FIEL,7.9,9.10E+20
03/11/2011,38.1035,142.861,20.31860399,2011TOHOKU01SATA,9,3.55E+22
03/11/2011,38.1035,142.861,20.31860399,2011TOHOKU01FUJI,9,3.55E+22
11/14/2007,-22.34,-70.06,51.8,2007TOCOPI01BEJA,7.7,3.98E+20
05/12/2008,30.99252,103.45786,9.27381,2008WENCHU01SLAD,7.9,7.94E+20
07/08/1986,34,-116.57,11,1986NORTHP01HART,6.21,2.28E+18
01/17/1994,34.213,-118.537,17.5,1994NORTHR01HART,6.73,1.40E+19
04/11/2012,2.3658,93.0812,21.3589,2012SUMATR01HAYE,8.56,7.76E+21
08/17/1999,40.76,29.97,17,1999IZMITT01DELO,7.56,2.44E+20
02/20/2008,2.7074,95.9661,23.5547,2008SIMEUL01HAYE,7.4,1.41E+20
10/07/2009,-13.0642,166.19,35,2009VANUAT01SLAD,7.6,2.82E+20
10/28/2012,52.769,-131.927,17,2012MASSET01WEIx,7.83,7.00E+20
10/28/2012,52.769,-131.927,17,2012MASSET01SHAO,7.72,4.27E+20
09/20/1999,23.869,120.84,6.9,1999CHICHI01WUxx,7.67,3.59E+20
04/06/2009,42.3439,13.3784,8.639,2009LAQUIL01GUAL,6.3,3.13E+18
09/12/2007,-2.51506,100.91388,45,2007PAGAII01SLAD,7.9,7.94E+20
08/26/2012,33.019,-115.537,6.4,2012BRAWLE01WEIx,5.45,1.90E+17
01/17/1995,34.595,135.012,14.3,1995KOBEJA01KOKE,6.87,2.60E+19
11/24/1987,33.0166,-115.85,10,1987SUPERS01WALD,6.51,6.57E+18
03/26/1997,34.43,131.35,7.7,1997KAGOSH01MIYA,6.04,1.28E+18
10/25/1981,17.742,-102.238,15,1981PLAYAA01MEND,7.25,8.49E+19
01/17/1995,34.595,135.012,14.3,1995KOBEJA01ZENG,6.9,2.55E+19
10/06/2000,35.26937,133.35669,7.8,2000TOTTOR01SEKI,6.83,2.00E+19
06/12/1978,38.15,142.167,37,1978MIYAGI01YAMA,7.61,2.91E+20
04/06/2009,42.35,13.38,9.5,2009LAQUIL01CIRE,6.3,3.50E+18
12/26/2003,29.052,58.365,8,2003BAMIRA01POIA,6.5,7.30E+18
01/13/2007,46.2542,154.43201,10,2007KURILI01SLAD,8.1,1.58E+21
08/17/1999,40.725,29.987,17,1999IZMITT01BOUC,7.59,2.70E+20
04/01/1968,32.28,132.53,15,1968HYUGAx01YAGI,7.53,2.22E+20
05/09/2010,3.7137,96.0833,44.6388,2010NORTHE02HAYE,7.2,7.08E+19
04/23/1992,33.966,-116.317,12.5,1992JOSHUA01HOUG,6.15,1.86E+18
10/18/1989,37.041,-121.883,17.6,1989LOMAPR01EMOL,6.91,2.59E+19
05/16/1968,40.73,143.58,9,1968TOKACH01NAGA,8.35,3.76E+21
