x,y,s1,s2,s3,s4,s5,s6,aftershock
335012.02908761695,3797225.878295721,-467.34057167468416,-1308.1138227969143,-13077.904492086493,-246.94559642914672,-2317.2426933434053,-298.4219213278753,0.0
340012.02908761695,3797225.878295721,-285.1265743002184,-391.07519806938205,-13168.268633623396,-82.31574013025107,-2330.176480015364,-299.4215405975792,0.0
345012.02908761695,3797225.878295721,-215.45721030180107,557.2766334586855,-12937.373858339395,86.86126650449026,-2292.3877567290883,-294.7322939303229,0.0
350012.02908761695,3797225.878295721,-264.85108811054903,1480.500329320006,-12380.018222945771,251.62554609587275,-2203.2592029355083,-284.3181317463416,0.0
355012.02908761695,3797225.878295721,-426.9355144083772,2321.631273879049,-11514.496835623828,402.9893223312096,-2065.61842460205,-268.4976442481752,0.0
360012.02908761695,3797225.878295721,-682.7812015675211,3029.6368624489346,-10381.743906852633,532.876449638104,-1885.5981034064928,-247.9264907435941,0.0
365012.02908761695,3797225.878295721,-1003.2848282003804,3565.21188809003,-9041.378760349033,634.9629450416318,-1672.0721966763451,-223.5405681914881,0.0
370012.02908761695,3797225.878295721,-1353.1708694513993,3904.8568704534623,-7565.2803092577,705.2766194766411,-1435.7544113872275,-196.46691606922684,0.0
375012.02908761695,3797225.878295721,-1695.805001948291,4042.542460279199,-6029.840809001659,742.4608009164668,-1188.111202863,-167.91781093199174,0.0
380012.02908761695,3797225.878295721,-1997.8643974373588,3988.833735516717,-4508.255401618607,747.6828934570239,-940.26954213211,-139.08281503056955,0.0
385012.02908761695,3797225.878295721,-2233.022141802788,3767.878982329348,-3064.091161398695,724.2370695729969,-702.0853385492337,-111.03542850790518,0.0
320012.02908761695,3802225.878295721,-1797.6792179966474,-4110.0865501531325,-12483.895514616946,-796.7386929515826,-2344.675734050302,-320.5598935775158,0.0
325012.02908761695,3802225.878295721,-1323.1957503320084,-3477.628411104319,-13542.899808293774,-669.6428030197255,-2519.301203557276,-340.6397615542122,0.0
330012.02908761695,3802225.878295721,-888.180479801534,-2654.905328394042,-14372.8529246885,-510.8699253364666,-2654.4568165914816,-355.85038231193704,0.0
335012.02908761695,3802225.878295721,-533.14285718966,-1671.106814439588,-14900.290230176244,-325.803916976163,-2738.880588667977,-364.9916448798028,0.0
340012.02908761695,3802225.878295721,-294.0789780802904,-574.5102238954571,-15064.497576399252,-122.75016152274743,-2763.4446065647053,-367.1187441740311,0.0
345012.02908761695,3802225.878295721,-196.65833568787968,570.4961089581363,-14826.45781488335,87.58664274437757,-2722.439332931168,-361.6683003863223,0.0
350012.02908761695,3802225.878295721,-251.33652592597127,1689.5204588485535,-14175.999926673332,293.06741719139256,-2614.5689588047494,-348.5519098605366,0.0
355012.02908761695,3802225.878295721,-450.62795610646657,2706.6615216714777,-13135.465615251986,481.40771665344056,-2443.4339174664988,-328.19595858699097,0.0
360012.02908761695,3802225.878295721,-769.3913723888202,3553.937835571651,-11758.772874305054,641.5810478910153,-2217.360183584025,-301.5181313740373,0.0
365012.02908761695,3802225.878295721,-1168.2729294914225,4179.789576121483,-10125.728579154453,765.0766093772254,-1948.5648117070195,-269.84002607886845,0.0
370012.02908761695,3802225.878295721,-1599.6367385506032,4554.943331072092,-8332.572381969598,846.7788846201424,-1651.797382520245,-234.7515136707364,0.0
375012.02908761695,3802225.878295721,-2014.6682601722289,4674.54306505844,-6480.603639105892,885.3174788229647,-1342.7072643260117,-197.94816158609507,0.0
380012.02908761695,3802225.878295721,-2370.1139788976534,4556.412651818208,-4665.082419590819,882.8651228288776,-1036.2320785798684,-161.0704947673999,0.0
385012.02908761695,3802225.878295721,-2633.34368686994,4236.195896741329,-2966.3246893318974,844.4777951081862,-745.2698711643961,-125.56744080714084,0.0
390012.02908761695,3802225.878295721,-2785.0063668914786,3760.7231657196585,-1444.1641785418908,777.154909977838,-479.8035456289188,-92.60141492148382,0.0
395012.02908761695,3802225.878295721,-2819.2170079907387,3181.0780154753543,-136.0528008648727,688.8212085180526,-246.5299303660251,-63.00084106096104,0.0
310012.02908761695,3807225.878295721,-3300.803367704488,-5581.182763428635,-10808.0461544726,-1154.3841053499257,-2185.4012282689896,-321.713826321145,0.0
315012.02908761695,3807225.878295721,-2787.100402108299,-5382.4196302649325,-12383.548988169916,-1096.1184639339006,-2461.7729136706967,-355.7161181285069,0.0
320012.02908761695,3807225.878295721,-2215.811049068413,-4943.365373883422,-13893.034138387124,-994.352385316075,-2722.8692402534484,-387.2564528165788,0.0
325012.02908761695,3807225.878295721,-1629.38622264301,-4248.75292821794,-15242.229831698109,-847.5552721742806,-2953.039478493798,-414.5139857920924,0.0
330012.02908761695,3807225.878295721,-1079.3976951003392,-3304.768816554022,-16328.42924795242,-657.8506180855387,-3135.655754906069,-435.6137034682712,0.0
335012.02908761695,3807225.878295721,-620.849645255806,-2143.6411226837167,-17050.79573037531,-431.6125878168188,-3254.760801047458,-448.8113353512858,0.0
340012.02908761695,3807225.878295721,-304.3441032399369,-824.8889287699341,-17323.2411132925,-179.5197491074107,-3297.038628293228,-452.70110200215305,0.0
345012.02908761695,3807225.878295721,-167.3779553507764,568.031253416838,-17087.86670209358,84.09232528266945,-3253.7980285418325,-446.4150690644889,0.0
350012.02908761695,3807225.878295721,-226.68668063701244,1936.0279062339464,-16326.194274088364,342.59658480797253,-3122.5722587655687,-429.7733220736188,0.0
355012.02908761695,3807225.878295721,-473.6997055362909,3176.652882416668,-15065.356304724546,578.9895316777144,-2907.948908473831,-403.3524927081477,0.0
360012.02908761695,3807225.878295721,-874.6243321937674,4198.109011873339,-13377.215807350818,778.0212842732453,-2621.371728440335,-368.4519287328741,0.0
365012.02908761695,3807225.878295721,-1375.4976524158317,4931.953504119027,-11370.068067507967,928.1095886973834,-2279.8869805974905,-326.9594421768939,0.0
370012.02908761695,3807225.878295721,-1911.13705880084,5341.671016993286,-9174.462746919096,1022.6485177596052,-1904.0598536554933,-281.13947716720816,0.0
375012.02908761695,3807225.878295721,-2415.8083363794817,5425.355289433451,-6926.222097646338,1060.4664042483294,-1515.4829902752913,-233.3840452665993,0.0
380012.02908761695,3807225.878295721,-2833.072828411533,5212.392363816873,-4750.243637770095,1045.4126464151277,-1134.3689912308707,-185.9689049889952,0.0
385012.02908761695,3807225.878295721,-3122.7527249090176,4755.546121844625,-2748.1166570339883,985.2539001404574,-777.6473990184383,-140.85511166293813,0.0
390012.02908761695,3807225.878295721,-3264.002402907831,4120.75564849914,-991.2131915856984,890.1900344876758,-457.8141066093834,-99.5587699911468,0.0
395012.02908761695,3807225.878295721,-3254.6281758879386,3377.026956327149,480.6374098378223,771.3227415592387,-182.5765417097616,-63.09720097970317,0.0
400012.02908761695,3807225.878295721,-3107.645011334236,2588.2156833133,1655.998809144852,639.3435444668975,44.83039719302113,-32.002421429012955,0.0
405012.02908761695,3807225.878295721,-2846.4151267312805,1807.607395219144,2545.9173946203764,503.5954512015893,224.87791944390813,-6.384945484111941,0.0
305012.02908761695,3812225.878295721,-4510.874553161121,-6394.71044540574,-9772.616383561928,-1410.709673372217,-2130.229620201584,-336.89001558150244,0.0
310012.02908761695,3812225.878295721,-4042.8348245412526,-6515.744894600688,-11642.654537439896,-1407.259799745873,-2477.5344541400245,-382.0934753296335,0.0
315012.02908761695,3812225.878295721,-3448.964161353956,-6388.035900571644,-13568.833790667592,-1354.9384618155652,-2829.198414127248,-426.91258209538057,0.0
320012.02908761695,3812225.878295721,-2763.0371352022767,-5964.11470336382,-15454.82868148436,-1246.6172366157186,-3167.9028040966887,-469.1588138166018,0.0
325012.02908761695,3812225.878295721,-2037.0572139010203,-5214.186429130565,-17180.08792566794,-1078.6029417006534,-3472.752133445223,-506.3026494930848,0.0
330012.02908761695,3812225.878295721,-1338.1540236145322,-4136.048316912982,-18607.851328451343,-852.1438110342203,-3720.7566767297,-535.6677349084573,0.0
335012.02908761695,3812225.878295721,-741.3004044751625,-2763.177992509655,-19598.88527985883,-574.5439525366903,-3889.1437613407807,-554.7026618341488,0.0
340012.02908761695,3812225.878295721,-318.2347509275005,-1168.327267718025,-20030.03262894064,-259.50083459401355,-3958.308816174193,-561.303923510108,0.0
345012.02908761695,3812225.878295721,-124.33327134813256,539.789689092298,-19814.57280449875,73.65199506138275,-3914.9069741456633,-554.129963047968,0.0
350012.02908761695,3812225.878295721,-186.45228249374168,2227.7183248456363,-18920.135870736005,401.87964531938405,-3754.462084993124,-532.8467117895768,0.0
355012.02908761695,3812225.878295721,-495.24575694398,3755.2279037880417,-17379.271614078105,701.3289655055731,-3482.8077252573285,-498.2435832662224,0.0
360012.02908761695,3812225.878295721,-1004.7064701285362,4996.498260179813,-15288.991705451876,950.6168853971892,-3115.882674532052,-452.1836566642736,0.0
365012.02908761695,3812225.878295721,-1639.6996779547271,5859.4926998888495,-12798.46044483386,1133.7964032084524,-2677.815405935847,-397.3927875829119,0.0
370012.02908761695,3812225.878295721,-2309.748793800739,6298.717488699846,-10087.308631868447,1242.3323442332749,-2197.6685606580445,-337.1270446399926,0.0
375012.02908761695,3812225.878295721,-2925.356428206413,6318.47460811859,-7339.794036495668,1275.684346813309,-1705.5728652419684,-274.78514122956926,0.0
