x,y,s1,s2,s3,s4,s5,s6,aftershock
547594.4395779636,2503102.128414412,9076.66363908712,32197.455836965448,32795.64168843143,5161.56398114356,6521.589798288169,563.0351001314357,0.0
552594.4395779636,2503102.128414412,7264.16080713343,33247.512602311974,39336.449327449125,5222.735240331038,7430.9257931677585,580.8637938611181,0.0
557594.4395779636,2503102.128414412,5129.6113944155095,33722.80806941618,46303.517527176686,5192.246403454476,8368.381350567292,591.1485579952067,0.0
562594.4395779636,2503102.128414412,2730.744575889285,33514.97672589037,53550.87134540215,5058.978363985462,9312.088009856803,592.9371804484786,0.0
567594.4395779636,2503102.128414412,150.36777803896334,32535.306712461053,60894.45973301522,4815.298858741939,10236.715718496644,585.6355393923775,0.0
572594.4395779636,2503102.128414412,-2506.704098252383,30724.481020614665,68118.67663176457,4458.056948112375,11114.591032890125,569.092294460882,0.0
577594.4395779636,2503102.128414412,-5119.409649308168,28060.895249128724,74986.70233729438,3989.3068931105386,11917.156634806835,543.6459728225276,0.0
582594.4395779636,2503102.128414412,-7558.4757937821905,24566.427621926185,81254.05397121738,3416.6567076429515,12616.674650188716,510.1357804931943,0.0
587594.4395779636,2503102.128414412,-9695.94706684586,20308.71949613088,86684.07917216915,2753.1620661410207,13187.999712162828,469.8629918606036,0.0
592594.4395779636,2503102.128414412,-11415.17732509095,15399.522022229963,91063.9322923896,2016.7551553109747,13610.254324041873,424.5108319034255,0.0
597594.4395779636,2503102.128414412,-12620.170323940423,9989.114611017474,94219.33843681288,1229.2462746322758,13868.21711513364,376.02339856418655,0.0
602594.4395779636,2503102.128414412,-13243.258735709176,4257.306030256941,96026.71895775315,415.0016283333353,13953.297959384015,326.4606256679651,0.0
537594.4395779636,2508102.128414412,13410.353663399992,31024.658794610783,20475.757338790416,5249.474451839104,4896.195382287548,463.1314596409426,0.0
542594.4395779636,2508102.128414412,12326.785773772364,33326.92235207048,26398.64170408963,5508.485867473535,5781.691082416418,480.2452174476628,0.0
547594.4395779636,2508102.128414412,10805.676296377273,35282.49763505048,33069.04944557121,5697.852339722292,6741.411403577824,489.4353063068464,0.0
552594.4395779636,2508102.128414412,8847.523760027612,36743.854917563614,40423.326293615886,5799.129262383009,7760.714685594072,489.0578368286447,0.0
557594.4395779636,2508102.128414412,6482.20161124952,37560.66800341404,48347.4576422475,5795.074523810474,8819.249397884925,477.75537302815553,0.0
562594.4395779636,2508102.128414412,3772.359186405968,37591.47333209605,56674.295632097725,5671.135436415128,9891.217802802708,454.625361705556,0.0
567594.4395779636,2508102.128414412,813.7573653723774,36716.93036675786,65185.613978982816,5416.963907252456,10946.207971585633,419.3657877210613,0.0
572594.4395779636,2508102.128414412,-2268.0921354742163,34853.139537840616,73619.66809061446,5027.771147481696,11950.585775336804,372.38345147695566,0.0
577594.4395779636,2508102.128414412,-5325.079687036857,31963.306712700843,81684.2741340525,4505.341162118955,12869.388597122166,314.84204991803193,0.0
582594.4395779636,2508102.128414412,-8196.902327498712,28065.99094046625,89074.43408386684,3858.530360771482,13668.550279694917,248.64028055210665,0.0
587594.4395779636,2508102.128414412,-10723.62118340795,23238.65411981292,95492.90629404288,3103.154991553506,14317.248285444606,176.31689506851797,0.0
592594.4395779636,2508102.128414412,-12758.893975142206,17615.781581233387,100671.4370932993,2261.232047547624,14790.096587678378,100.88734691410455,0.0
597594.4395779636,2508102.128414412,-14182.330397365571,11381.668046067864,104390.47434952964,1359.647100660098,15068.959084224303,25.62832696062673,0.0
602594.4395779636,2508102.128414412,-14909.5623866465,4758.586800214923,106495.15972318602,428.38624956865726,15144.158150951467,-46.17531635699021,0.0
607594.4395779636,2508102.128414412,-14898.987667521673,-2008.3750507511168,106906.15585968136,-501.46208812634177,15014.9885327742,-111.48541163158248,0.0
612594.4395779636,2508102.128414412,-14154.575213026805,-8668.238292638978,105624.25626710829,-1399.71940038684,14689.489246524014,-167.75402014116267,0.0
617594.4395779636,2508102.128414412,-12724.589480920848,-14981.1477836851,102728.63197235258,-2238.9407490728595,14183.570824711976,-213.11111791932808,0.0
622594.4395779636,2508102.128414412,-10696.510532690036,-20733.859780296,98369.05026409932,-2995.8919033404727,13519.61363603332,-246.484432031566,0.0
627594.4395779636,2508102.128414412,-8188.8251606049025,-25752.344878506345,92753.09649684536,-3652.5817398847767,12724.736097224228,-267.63333299539613,0.0
527594.4395779636,2513102.128414412,16097.188390400055,27148.418196979343,8971.96644330631,4896.704010695753,3232.013385789609,360.23642883628395,0.0
532594.4395779636,2513102.128414412,15975.606510441758,30226.77252673711,13597.258456424888,5308.649958541462,3993.3338084833927,375.1343594289072,0.0
537594.4395779636,2513102.128414412,15429.493147765465,33261.38619905164,19117.689989687005,5688.086779348232,4859.297384328884,382.16458703339873,0.0
542594.4395779636,2513102.128414412,14398.854884930204,36115.52497347356,25573.14987815164,6014.466283073329,5826.834435558724,378.9416244777887,0.0
547594.4395779636,2513102.128414412,12842.800149470522,38626.03779772558,32961.81709871605,6265.341870876288,6886.895147281067,363.1228669576802,0.0
552594.4395779636,2513102.128414412,10748.71946098349,40610.09395522111,41227.804416619714,6417.650773930993,8023.555292231504,332.6366939705737,0.0
557594.4395779636,2513102.128414412,8140.527361418749,41876.27171097113,50251.066649360735,6449.389622357226,9213.573498701737,285.9404145101967,0.0
562594.4395779636,2513102.128414412,5084.37959723614,42239.65647541437,59841.81022472052,6341.573105022166,10426.591994859788,222.2793214073945,0.0
567594.4395779636,2513102.128414412,1690.3148193090003,41539.62315704101,69741.35873270665,6080.267031789929,11626.089591563325,141.903118633858,0.0
572594.4395779636,2513102.128414412,-1891.242035074152,39658.2473424896,79630.81464664888,5658.451566162769,12771.138420601805,46.20997153285938,0.0
577594.4395779636,2513102.128414412,-5478.387083150633,36536.71859018487,89147.59657433354,5077.432523780682,13818.854270918288,-62.216548787904834,0.0
582594.4395779636,2513102.128414412,-8871.33767849681,32187.229997926413,97908.69460291752,4347.566296315456,14727.342497591077,-179.6881613294579,0.0
587594.4395779636,2513102.128414412,-11869.132558549452,26698.32413139467,105538.13519701287,3488.130634052904,15458.805883474664,-301.6149515561156,0.0
592594.4395779636,2513102.128414412,-14287.303914577393,20232.76543313185,111695.6022690229,2526.3105390556166,15982.461272139948,-422.80910075159534,0.0
597594.4395779636,2513102.128414412,-15974.269995366534,13018.032121952156,116102.76660312632,1495.3884194937227,16276.881379830083,-537.867395102028,0.0
602594.4395779636,2513102.128414412,-16824.56276273092,5330.613084969588,118564.60528470596,432.36140405633546,16331.513489749756,-641.5920841482103,0.0
607594.4395779636,2513102.128414412,-16787.492455745632,-2524.0827833562457,118983.44378727938,-624.720251715866,16147.189233339244,-729.4138915526335,0.0
612594.4395779636,2513102.128414412,-15870.55061351578,-10234.022346682576,117364.72187630506,-1639.3769782395525,15735.65611731937,-797.7620794172286,0.0
617594.4395779636,2513102.128414412,-14137.403075427765,-17502.780692925164,113814.12393429335,-2579.006385957491,15118.229822918922,-844.3419113879335,0.0
622594.4395779636,2513102.128414412,-11700.927112620488,-24069.62063889108,108526.77099699435,-3416.670988288815,14323.824733720729,-868.2860784536813,0.0
627594.4395779636,2513102.128414412,-8712.16602001974,-29725.56564672681,101769.81319056664,-4132.257851695129,13386.597773250482,-870.1518611903252,0.0
632594.4395779636,2513102.128414412,-5346.525081698655,-34324.17284359567,93860.41186242925,-4712.99437616988,12343.496727513164,-851.7762552055758,0.0
637594.4395779636,2513102.128414412,-1788.778814745713,-37786.24579511556,85141.48315040676,-5153.367173362734,11231.916136436486,-816.013307680315,0.0
642594.4395779636,2513102.128414412,1781.4833652340724,-40098.52626529833,75957.70254262479,-5454.547777413153,10087.650738531453,-766.3920325185599,0.0
647594.4395779636,2513102.128414412,5202.452902409305,-41307.03121901422,66634.04676014383,-5623.44179185068,8943.244033189123,-706.7517391115538,0.0
517594.4395779636,2518102.128414412,16649.54377562576,21549.31662598957,-308.7874626959503,4189.079996911825,1743.124889749275,263.2154196644956,0.0
522594.4395779636,2518102.128414412,17440.472748057946,24788.81225636289,2697.499175409901,4677.483151380917,2312.837964243844,274.9115666036454,0.0
527594.4395779636,2518102.128414412,17942.386965922895,28255.82640802181,6540.34509941444,5173.961799523196,2993.699024727513,279.4259969956568,0.0
532594.4395779636,2518102.128414412,18061.95761588065,31869.92651018148,11340.006340273054,5662.188020477109,3794.0740707563737,273.8614313514523,0.0
537594.4395779636,2518102.128414412,17705.044360993234,35513.80040302082,17201.36460834273,6121.611945132365,4718.394327142373,254.979281372128,0.0
542594.4395779636,2518102.128414412,16785.927374974708,39030.63660010552,24198.859533786526,6527.826805659085,5765.497282984152,219.3916538544014,0.0
547594.4395779636,2518102.128414412,15238.906843652325,42225.56400995136,32359.06037774432,6853.491927633641,6927.00271394116,163.85029520671492,0.0
552594.4395779636,2518102.128414412,13031.165174499196,44872.575620450014,41642.66871636502,7069.871963615116,8185.960636621445,85.6157614595468,0.0
557594.4395779636,2518102.128414412,10175.053347758045,46727.83008551401,51928.74165165632,7148.965729345263,9516.064303079447,-17.122548665384244,0.0
562594.4395779636,2518102.128414412,6737.418616964976,47549.10444232185,63004.41728900088,7066.073761337097,10881.69010360689,-144.83560142235444,0.0
567594.4395779636,2518102.128414412,2843.5288921718616,47119.85254400052,74563.44738744291,6802.545235478649,12238.991575793185,-296.3166616243288,0.0
572594.4395779636,2518102.128414412,-1326.2280848214712,45274.822844203176,86215.72594042317,6348.337899931353,13538.088843715328,-468.48492910554495,0.0
577594.4395779636,2518102.128414412,-5547.47942658458,41923.434984243526,97508.40598697064,5704.00195803155,14726.281128788894,-656.3730967079609,0.0
582594.4395779636,2518102.128414412,-9569.859885527258,37066.93156807276,107956.8504305568,4881.71999442843,15751.957216871717,-853.3270312333498,0.0
587594.4395779636,2518102.128414412,-13139.491506315951,30806.38264530977,117081.9183467823,3905.1664061590313,16568.772357104986,-1051.3930351780386,0.0
592594.4395779636,2518102.128414412,-16022.760120394496,23340.101925323965,124448.7414543152,2808.1194066454173,17139.523471743658,-1241.8732232718726,0.0
597594.4395779636,2518102.128414412,-18028.170594593816,14950.900029008932,129702.31179918964,1631.974473079514,17439.2253896449,-1415.9826260996806,0.0
602594.4395779636,2518102.128414412,-19023.64261347712,5984.968480816798,132595.7418764978,422.4907901783418,17456.956294619675,-1565.5523241328551,0.0
607594.4395779636,2518102.128414412,-18947.57120906524,-3174.8901212846977,133008.6132985273,-773.7821111154385,17196.311100031202,-1683.7093836323909,0.0
612594.4395779636,2518102.128414412,-17812.825030334574,-12138.699355692395,130953.90636102048,-1912.9318789465285,16674.464683308783,-1765.4544321636974,0.0
617594.4395779636,2518102.128414412,-15703.680029639832,-20538.437891464688,126573.54006652837,-2956.579664073181,15920.128394712456,-1808.0683319293653,0.0
622594.4395779636,2518102.128414412,-12766.2759542242,-28054.07497754362,120123.26862161978,-3873.9876189015927,14970.719180755868,-1811.2882972654,0.0
627594.4395779636,2518102.128414412,-9193.794203573923,-34434.18697823504,111948.95190803404,-4643.28381511035,13869.18752066782,-1777.2296288407952,0.0
632594.4395779636,2518102.128414412,-5208.086281516566,-39509.303136749055,102456.79932162384,-5251.826459365857,12660.828948750444,-1710.0661492581978,0.0
637594.4395779636,2518102.128414412,-1039.8686675941517,-43197.0791496863,92080.92203702808,-5695.83038848958,11390.394922017536,-1615.5145267371363,0.0
642594.4395779636,2518102.128414412,3090.225337849516,-45499.28296245512,81251.63005033605,-5979.40905848652,10099.666802277892,-1500.21871672852,0.0
647594.4395779636,2518102.128414412,6987.720342925333,-46491.72457805968,70367.66947533691,-6113.222413050642,8825.624577087172,-1371.10541992974,0.0
652594.4395779636,2518102.128414412,10495.942156794832,-46308.93967873077,59774.737839955815,-6112.888808693854,7599.22061060281,-1234.8162240112524,0.0
657594.4395779636,2518102.128414412,13502.530533676356,-45126.038711305126,49751.644348861344,-5997.339420221356,6444.765533873817,-1097.254767462584,0.0
