x,y,s1,s2,s3,s4,s5,s6,aftershock
370976.1398252601,-2679456.3425872736,-7984.2789725204975,-722.8051231852072,-7995.965311740361,-2966.4536214716727,-4365.186212216588,-1545.4409101826457,0.0
375976.1398252601,-2679456.3425872736,-8036.86017711824,-375.8378103038197,-7750.773045504717,-2895.9970821709485,-4016.913114831809,-1425.6927548456697,0.0
380976.1398252601,-2679456.3425872736,-8111.9638463096,-11.490798475289353,-7371.572577317071,-2839.1244346184776,-3648.4668284003537,-1320.4463800831631,0.0
385976.1398252601,-2679456.3425872736,-8215.025010799052,357.00634861362926,-6846.783953107033,-2795.6003047339814,-3267.3950766971698,-1233.403790192261,0.0
390976.1398252601,-2679456.3425872736,-8349.647958149257,713.1978584485863,-6168.916014945576,-2764.107710325145,-2881.1436420910363,-1167.0982881918735,0.0
395976.1398252601,-2679456.3425872736,-8516.763929816556,1038.1121431572503,-5336.033911046119,-2742.3549669686563,-2496.600635736196,-1122.6485040446755,0.0
400976.1398252601,-2679456.3425872736,-8713.954638785564,1311.3931924937624,-4352.922770121468,-2727.2946889547443,-2119.666330603847,-1099.623370715978,0.0
405976.1398252601,-2679456.3425872736,-8935.065769865223,1512.768083444656,-3231.749488030763,-2715.442050871076,-1754.906595763754,-1096.0406258784224,0.0
410976.1398252601,-2679456.3425872736,-9170.209282807871,1623.7027525501392,-1992.070681436954,-2703.261937041658,-1405.3349299885854,-1108.5069418794153,0.0
415976.1398252601,-2679456.3425872736,-9406.201656607414,1629.04986044983,-660.1181530007831,-2687.576097337296,-1072.357645498534,-1132.4889701107818,0.0
420976.1398252601,-2679456.3425872736,-9627.424188066609,1518.4724283656567,732.6115235016625,-2665.9390813984646,-755.8969011212778,-1162.6883298119587,0.0
425976.1398252601,-2679456.3425872736,-9817.019900573914,1287.4465498483748,2151.323690290136,-2636.9248448535104,-454.67530092488096,-1193.4815597481054,0.0
430976.1398252601,-2679456.3425872736,-9958.276989287044,937.698620017072,3560.223810614033,-2600.282176142809,-166.62214785281694,-1219.3747508919687,0.0
435976.1398252601,-2679456.3425872736,-10036.019664614258,477.0224943882507,4924.86423859224,-2556.936000089154,110.65857487745836,-1235.4266609384963,0.0
440976.1398252601,-2679456.3425872736,-10037.818977583767,-81.4839797677787,6214.259587083897,-2508.8372418370727,379.42938054314624,-1237.5966634299962,0.0
445976.1398252601,-2679456.3425872736,-9954.875158873308,-720.6316165627225,7402.533700658357,-2458.687918151068,641.4332594229315,-1222.9877279762286,0.0
450976.1398252601,-2679456.3425872736,-9782.485092619689,-1420.6152253201046,8469.957173618002,-2409.5901414965747,897.6272087145529,-1189.969457996206,0.0
455976.1398252601,-2679456.3425872736,-9520.082760418183,-2160.543627768271,9403.335673680776,-2364.673528266079,1148.0601931227272,-1138.181922611898,0.0
305976.1398252601,-2674456.3425872736,-7719.799479452314,-2191.85942183184,-4653.29981575688,-4488.721474856372,-5640.578074829296,-2813.7787393795693,0.0
310976.1398252601,-2674456.3425872736,-7875.472381558405,-2275.8094762468627,-5087.575573063802,-4492.314109467936,-5836.78668491851,-2840.9727551378805,0.0
315976.1398252601,-2674456.3425872736,-8018.536641828601,-2335.506527096003,-5516.252074673172,-4474.267841663683,-5999.042373030688,-2845.5464310404063,0.0
320976.1398252601,-2674456.3425872736,-8149.301722447233,-2369.975647281823,-5933.667675985936,-4435.599407137353,-6121.899730545746,-2825.9401899541845,0.0
325976.1398252601,-2674456.3425872736,-8267.79666582417,-2378.408030492712,-6334.308492780536,-4378.040987622806,-6200.367636584636,-2781.212304012059,0.0
330976.1398252601,-2674456.3425872736,-8373.752534702086,-2359.8867307636447,-6712.774458964863,-4304.031333103546,-6230.134101724931,-2711.1909290322774,0.0
335976.1398252601,-2674456.3425872736,-8466.70519167274,-2313.1075478460007,-7063.560438510615,-4216.669915836374,-6207.79301636071,-2616.619462080146,0.0
340976.1398252601,-2674456.3425872736,-8546.23082181061,-2236.1706044484054,-7380.648176900323,-4119.630039847646,-6131.064408653572,-2499.281262644188,0.0
345976.1398252601,-2674456.3425872736,-8612.298216222749,-2126.52815908452,-7656.948017623245,-4017.028598033231,-5998.99896323018,-2362.085816096961,0.0
350976.1398252601,-2674456.3425872736,-8665.687552523981,-1981.1575514733315,-7883.680970700142,-3913.2472916083343,-5812.152344395021,-2209.093344727868,0.0
355976.1398252601,-2674456.3425872736,-8708.402369467447,-1797.0031639877134,-8049.827861451264,-3812.7082899595353,-5572.713864965044,-2045.45677282372,0.0
360976.1398252601,-2674456.3425872736,-8743.980966132835,-1571.6819996925904,-8141.798731887405,-3719.60798691695,-5284.567826614234,-1877.2632350691688,0.0
365976.1398252601,-2674456.3425872736,-8777.615285846574,-1304.3973304379165,-8143.468941574507,-3637.622507975864,-4953.266816424615,-1711.2654340621518,0.0
370976.1398252601,-2674456.3425872736,-8815.999339482352,-996.948428767938,-8036.697256347124,-3569.6039015380725,-4585.893616406489,-1554.505546594224,0.0
375976.1398252601,-2674456.3425872736,-8866.865100010602,-654.6871541532104,-7802.381089607325,-3517.298967617246,-4190.798033173261,-1413.8519274605108,0.0
380976.1398252601,-2674456.3425872736,-8938.207758414517,-287.24519434958125,-7422.020815628406,-3481.1236036673004,-3777.2005932971015,-1295.4820308912294,0.0
385976.1398252601,-2674456.3425872736,-9037.258274571914,91.13559914929304,-6879.679483912168,-3460.0340654922466,-3354.6792531618366,-1204.3622256972287,0.0
390976.1398252601,-2674456.3425872736,-9169.312454933168,461.808048688018,-6164.132101969595,-3451.5303764503205,-2932.5676252220164,-1143.7807792037677,0.0
395976.1398252601,-2674456.3425872736,-9336.56974162308,802.5353515050443,-5270.938365597476,-3451.815487894698,-2519.319096049609,-1114.9940833605538,0.0
400976.1398252601,-2674456.3425872736,-9537.160985177445,1088.9100773538871,-4204.134611611627,-3456.117761288784,-2121.907512041532,-1117.0361466096008,0.0
405976.1398252601,-2674456.3425872736,-9764.549778767376,1296.2708474217202,-2977.2505867365667,-3459.161075813988,-1745.34139318043,-1146.7261043358296,0.0
410976.1398252601,-2674456.3425872736,-10007.450482566492,1401.9157641294498,-1613.421446818042,-3455.733421178431,-1392.3671345040136,-1198.883715830753,0.0
415976.1398252601,-2674456.3425872736,-10250.35068113313,1387.3325577941105,-144.4781481413931,-3441.288617916832,-1063.4172502143551,-1266.7374332780273,0.0
420976.1398252601,-2674456.3425872736,-10474.627042438447,1240.1330336370982,1390.9540938086477,-3412.4957946090544,-756.8224939817505,-1342.4829183255831,0.0
425976.1398252601,-2674456.3425872736,-10660.130975360627,955.3947872536116,2950.1496213053774,-3367.650597095917,-469.26955758251376,-1417.9288340373298,0.0
430976.1398252601,-2674456.3425872736,-10787.040319509815,536.2025542660863,4489.428930709931,-3306.882706560976,-196.4385592041967,-1485.1591443852956,0.0
435976.1398252601,-2674456.3425872736,-10837.700679026064,-6.692394017873204,5967.343682361059,-3232.1241247151165,66.27518721862911,-1537.1386857766445,0.0
440976.1398252601,-2674456.3425872736,-10798.186753499158,-656.0213397833675,7347.472795701,-3146.84465380008,323.06555146577284,-1568.1994308170983,0.0
445976.1398252601,-2674456.3425872736,-10659.376173241812,-1389.746043392901,8600.500875662396,-3055.603864129875,577.1464806725654,-1574.367992421808,0.0
450976.1398252601,-2674456.3425872736,-10417.419624058766,-2183.1151930267924,9705.385070331762,-2963.495372698083,830.3806787534276,-1553.5138173951566,0.0
455976.1398252601,-2674456.3425872736,-10073.615688759495,-3010.7182379591945,10649.59054293622,-2875.5736156956086,1083.1362430660351,-1505.3234010868412,0.0
460976.1398252601,-2674456.3425872736,-9633.795324478688,-3848.278797743148,11428.52459409831,-2796.3446336780976,1334.3589189046352,-1431.1260598731783,0.0
465976.1398252601,-2674456.3425872736,-9107.380466279072,-4674.0154014390255,12044.392031038367,-2729.381775585478,1581.815001247481,-1333.6090291132275,0.0
470976.1398252601,-2674456.3425872736,-8506.298678409452,-5469.504945732526,12504.732331496263,-2677.094744460788,1822.4429598983409,-1216.465456816383,0.0
285976.1398252601,-2669456.3425872736,-7345.277418413842,-1535.302762952816,-2765.180105318407,-4747.022035611216,-4964.475074229648,-2825.8278716671884,0.0
290976.1398252601,-2669456.3425872736,-7591.0749455526275,-1710.7812878296018,-3165.683691708464,-4857.8731135180815,-5269.049898473147,-2933.1640155318364,0.0
295976.1398252601,-2669456.3425872736,-7823.451412805612,-1871.0392567999304,-3583.0621340355574,-4947.630306621904,-5560.973419717162,-3024.578246246584,0.0
300976.1398252601,-2669456.3425872736,-8042.658644168851,-2013.160047115912,-4012.419744076956,-5014.63572316044,-5834.094803754196,-3096.737935781897,0.0
305976.1398252601,-2669456.3425872736,-8249.30087538978,-2134.8355607103454,-4448.151749850565,-5057.7932333644685,-6081.896584517038,-3146.41246444735,0.0
310976.1398252601,-2669456.3425872736,-8444.142629443211,-2234.487771534128,-4884.239790471971,-5076.681370633534,-6297.671227788852,-3170.6153189105685,0.0
315976.1398252601,-2669456.3425872736,-8627.858753176448,-2311.270789838547,-5314.60469384203,-5071.647492403763,-6474.735187484484,-3166.765425177698,0.0
320976.1398252601,-2669456.3425872736,-8800.771603767836,-2364.9194733398103,-5733.446925484224,-5043.875582323884,-6606.674268084324,-3132.8677913510223,0.0
325976.1398252601,-2669456.3425872736,-8962.634859198612,-2395.4374293583965,-6135.479482090284,-4995.418601717048,-6687.609841909145,-3067.7101419155847,0.0
330976.1398252601,-2669456.3425872736,-9112.533834597763,-2402.660497101266,-6515.958546228409,-4929.189997351311,-6712.480622567102,-2971.070603276042,0.0
335976.1398252601,-2669456.3425872736,-9248.961810396151,-2385.77070913714,-6870.4327607001405,-4848.908387868789,-6677.325654751377,-2843.9234195265294,0.0
340976.1398252601,-2669456.3425872736,-9370.102889249987,-2342.8757608129886,-7194.185049249271,-4758.988534239099,-6579.562287171628,-2688.624331483933,0.0
345976.1398252601,-2669456.3425872736,-9474.312740642878,-2270.7830086560857,-7481.404933434005,-4664.37648467168,-6418.246068558482,-2509.048423559284,0.0
350976.1398252601,-2669456.3425872736,-9560.738847541705,-2165.087572382806,-7724.208223685576,-4570.322484716235,-6194.296950985368,-2310.647096580812,0.0
355976.1398252601,-2669456.3425872736,-9629.977356770383,-2020.6556262243528,-7911.688125129075,-4482.092565105876,-5910.674038304003,-2100.3911724143413,0.0
360976.1398252601,-2669456.3425872736,-9684.633764028064,-1832.5181704774889,-8029.223346527574,-4404.623268342585,-5572.469275185764,-1886.5692177227509,0.0
365976.1398252601,-2669456.3425872736,-9729.64764248504,-1597.110352018296,-8058.27320341711,-4342.134129133238,-5186.889259617411,-1678.4240461148108,0.0
370976.1398252601,-2669456.3425872736,-9772.258472446649,-1313.7124617616082,-7976.847400714015,-4297.724308927041,-4763.093945436724,-1485.6290715932018,0.0
375976.1398252601,-2669456.3425872736,-9821.5343847601,-985.8803708676556,-7760.754822087587,-4272.992055713369,-4311.862496335566,-1317.6297578556057,0.0
380976.1398252601,-2669456.3425872736,-9887.450838107678,-622.6157324029709,-7385.617209346659,-4267.727872839338,-3845.074167163655,-1182.9004113760643,0.0
385976.1398252601,-2669456.3425872736,-9979.581407317544,-239.0242264413794,-6829.504251728296,-4279.736534297368,-3375.0155350745104,-1088.19138144433,0.0
390976.1398252601,-2669456.3425872736,-10105.536668914743,143.75020348336443,-6075.911419796891,-4304.842101984062,-2913.5515543773968,-1037.8507405762489,0.0
395976.1398252601,-2669456.3425872736,-10269.359992775557,499.4461514107926,-5116.704841934305,-4337.11595887981,-2471.233575873791,-1033.3107168168883,0.0
400976.1398252601,-2669456.3425872736,-10470.131765086391,798.4744121996844,-3954.589704108661,-4369.342388604707,-2056.4471647068635,-1072.8170581804516,0.0
405976.1398252601,-2669456.3425872736,-10701.04392025834,1010.4480406915204,-2604.666191079583,-4393.701530904944,-1674.715888931155,-1151.4505529082587,0.0
